Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2022,VA,Virginia,Washington,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Age-adjusted prevalence,10.3,,,8.3,12.7,"54,050","44,535",51191,HLTHOUT,TEETHLOST,AgeAdjPrv,All Teeth Lost,POINT (-81.9597971939558 36.7245529476643)
2023,NE,Nebraska,Antelope,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,8.1,,,6.4,10.0,"6,302","4,745",31003,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity,POINT (-98.0666055560405 42.1769700413297)
2022,MI,Michigan,Dickinson,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Crude prevalence,29.8,,,23.9,36.2,"25,982","20,842",26043,RISKBEH,SLEEP,CrdPrv,Short Sleep Duration,POINT (-87.870275273909 46.0091529313179)
2023,FL,Florida,Dixie,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Age-adjusted prevalence,72.7,,,68.6,76.4,"17,465","14,301",12029,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup,POINT (-83.1587103063714 29.6080635127126)
2023,KS,Kansas,Dickinson,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,39.4,,,32.3,47.0,"18,445","14,195",20041,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-97.1528563755695 38.8662720239337)
2022,MN,Minnesota,Red Lake,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,8.7,,,7.0,10.7,"3,911","2,973",27125,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-96.0956349182591 47.8716783851504)
2022,MN,Minnesota,Itasca,BRFSS,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,66.1,,,62.6,69.5,"45,365","36,288",27061,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-93.6320100361171 47.5091860415008)
2023,CA,California,Yuba,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,10.9,,,9.6,12.4,"85,722","62,561",6115,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,POINT (-121.35117318039 39.2689845062383)
2023,MN,Minnesota,Traverse,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,8.6,,,7.3,10.0,"3,136","2,467",27155,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-96.4714542616451 45.7722365386933)
2023,KS,Kansas,Comanche,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,13.3,,,11.3,15.5,"1,655","1,267",20033,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-99.2713364764272 37.1911879051911)
2023,ME,Maine,York,BRFSS,Disability,Mobility disability among adults,%,Age-adjusted prevalence,10.1,,,8.5,11.8,"218,586","180,518",23031,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-70.714261699275 43.4783427124924)
